"image mean grand effect","mean r1 effect","mean r2 effect"
0.0632075789758157,0.0178883329864616,-0.0245093393515805
0.0246980673413627,0.0314698679280625,-0.0431178060572805
0.0153202525543482,0.0646544289658074,-0.0885849643622425
-0.0282476072692585,0.0766860215038203,-0.105069808683806
-0.0548300453439442,0.0690561713878938,-0.0946159231353609
-0.0378399322833324,0.0633914697731043,-0.0868545462475649
-0.0541367867588438,0.0456876425632297,-0.0625980037716978
-0.0708176250962429,0.0344507254309151,-0.0472019679605395
-0.0721017543887931,0.0356198203145839,-0.0488037797816702
-0.069658871108628,0.0337068662689835,-0.0461827843036072
-0.0594021977177479,0.0309726722652358,-0.0424365834283425
-0.0535955266725236,0.0274652692197518,-0.0376309857491405
-0.0568838429607578,0.0236075547022988,-0.0323454158583445
-0.0636017426605139,0.02184526791241,-0.0299308540877825
-0.0704872981118181,0.0225003000890274,-0.0308283332388623
-0.0770255792152146,0.0251414101867757,-0.0344469970740888
-0.0832821470515816,0.0292380903389254,-0.0400599809189172
-0.0901842980179918,0.0334500186214428,-0.0458308696696392
-0.0991173764567233,0.0383228084800276,-0.0525072246057521
-0.106991743129645,0.0480370156061078,-0.065816949953823
-0.109321976287836,0.0577165678904431,-0.0790791936680746
-0.10478383592379,0.0589758979866973,-0.080804639449306
-0.0936953929701404,0.0550526582402148,-0.0754292914849697
-0.0853157133867289,0.0510762401967631,-0.069981082347513
-0.0859221827055505,0.0515919195720671,-0.070687630063027
-0.0933153380817937,0.0547389459474663,-0.074999464902048
-0.104041435848729,0.053598848817304,-0.0734373837691633
-0.107642662626736,0.0531747842559616,-0.0728563602468046
-0.106141032395924,0.0541067302765287,-0.0741332473269322
-0.106978959305288,0.0526188115714019,-0.072094605464713
-0.10719904046498,0.0506447178950232,-0.0693898407522721
-0.108661791450155,0.0494074063923716,-0.0676945633038339
-0.108441417083483,0.0518581837493889,-0.0710524465657212
-0.110364737593897,0.0515472601190518,-0.0706264408124671
-0.118086167505701,0.0443848200055354,-0.0608129676699219
-0.12621163663687,0.0400652703092034,-0.054894623605467
-0.135080913236607,0.0402577672231652,-0.0551583693771938
-0.140365617214839,0.0425488376559842,-0.0582974334117706
-0.13625790469842,0.0472297945546137,-0.0647109522793733
-0.124419321005419,0.0511417951633725,-0.0700709011654
-0.10980113513565,0.0531970048983556,-0.0728868054126821
-0.0962119298438503,0.0561330909459055,-0.0769096246077017
-0.0833889916753384,0.0639780015730828,-0.0876581709864965
-0.0689920597931842,0.075357196906406,-0.103249146410725
-0.0516593636963555,0.0835236933370071,-0.114438307104601
-0.0350788607877422,0.0842550574348211,-0.115440370900956
-0.022399828605344,0.0809801388991151,-0.110953307192943
-0.0135550054677948,0.0807334784571447,-0.11061535035362
-0.00641764386148966,0.0853369303287334,-0.116922677268589
0.0021739070861553,0.0856174335263849,-0.117307003078358
0.00645437715558671,0.0811568037478059,-0.111195360979137
0.00541665900959309,0.0768965482847623,-0.105358257714837
0.00480473604093105,0.0864760830822888,-0.118483464482876
0.00863454698106992,0.126462817620304,-0.173270483882364
0.0195820160184128,0.190571039844403,-0.261107074072527
0.0473183994862304,0.247740397141372,-0.33943651816123
0.0889234144984278,0.281757014278756,-0.386043701381931
0.135548953999272,0.337281928423305,-0.462120044787775
0.144729616412483,0.332710149019897,-0.455856113267522
0.119176628046936,0.33027305428475,-0.45251697697456
0.0842839418018618,0.328767798570465,-0.450454581158235
0.0580831419332185,0.324079627946347,-0.444031178549866
0.0425678599853859,0.318101024774398,-0.435839715762325
0.0792566735526593,0.0233693380655291,-0.0320190281287444
0.0274145127344946,0.0276005424141749,-0.0378163275934474
-0.00738422999397231,0.043310268392658,-0.0593406924081223
-0.00955407893373586,0.076000247339563,-0.104130209017194
-0.036484553694479,0.0790516482185948,-0.108311024507295
-0.0469959653101667,0.0597676263148383,-0.08188941008072
-0.0231336670365694,0.051504257632879,-0.0705675218216718
-0.0329566286616398,0.0346797114672592,-0.0475157085687772
-0.0477873309509999,0.0238680875863927,-0.0327023797449927
-0.0471116061433437,0.0281593334987261,-0.0385819439495533
-0.0383463007389526,0.0319602692486557,-0.0437897195549763
-0.0364735291120057,0.0310290755610712,-0.0425138632687404
-0.0421999787273181,0.0277217736344762,-0.0379824301095746
-0.050431412861302,0.0252924395739525,-0.0346539269487272
-0.0579741037976878,0.0245343936408973,-0.0336153055729178
-0.0640205008703093,0.0252853531364235,-0.0346442176089958
-0.0698057091645484,0.0273620712014864,-0.0374895910617768
-0.0761104802285379,0.0304987297224648,-0.0417872205937667
-0.082708810121576,0.0334941697563845,-0.045891362458423
-0.0906516699451827,0.036517431936675,-0.0500336242768729
-0.0981287998006903,0.0438214015311945,-0.0600410111888443
-0.102973810590707,0.0526283028620151,-0.0721076097654882
-0.100203884244301,0.0538113402239771,-0.073728524592592
-0.0900489536757137,0.0507838767072632,-0.0695805063976138
-0.0804879431671755,0.0467829640692697,-0.0640987364845188
-0.0789806833623341,0.0471327897347912,-0.0645780430781879
-0.0849596428294011,0.0494371403594249,-0.067735302700251
-0.0928016980930528,0.0491530391925111,-0.0673460472053237
-0.0965487660232461,0.0481066009875359,-0.065912290963442
-0.0954007434111237,0.0479234878086408,-0.0656614021274235
-0.0948014283426306,0.046684382601863,-0.0639636670713836
-0.0946813894047436,0.0452178121441421,-0.0619542750806103
-0.0973987730602136,0.0445627805233673,-0.0610567966911072
-0.102320369513582,0.0456958495794754,-0.0626092484498007
-0.109381204097932,0.0460489811189638,-0.0630930845201387
-0.120513158967513,0.042797272903432,-0.0586378219650919
-0.130053117214839,0.0424647631250487,-0.0581822403856187
-0.136210522450343,0.0459734351592281,-0.0629895767441373
-0.133906853844601,0.0514513269637956,-0.0704949999309148
-0.122129609051957,0.0559491178784814,-0.0766575576127245
-0.102514413893391,0.0591399507663995,-0.0810294130630538
-0.0797381542762016,0.0630260093664409,-0.0863538180280457
-0.0614128939084028,0.0675266595355505,-0.0925202932597477
-0.0463086295060759,0.074651425192303,-0.10228214750374
-0.0320642238952671,0.082309713050299,-0.112774996452033
-0.0196297263347492,0.0853836594617346,-0.116986702249519
-0.0127498004574739,0.0817640562488753,-0.112027375769563
-0.0114939363178605,0.0762338624332247,-0.104450292035133
-0.0152045879410543,0.0724053982997478,-0.099204798969135
-0.0201901621576053,0.0677770783073784,-0.0928633994990704
-0.0209047075695024,0.0570684228817764,-0.0781911508315248
