"image median grand effect","median r1 effect","median r2 effect"
0.0515106357940256,0.0404682943265732,-0.0404682943265732
0.0172854645611489,0.0779896984361622,-0.0779896984361622
0.0135504474378612,0.12637368816219,-0.12637368816219
-0.0181704429730977,0.155675914189587,-0.155675914189587
-0.0531233539320018,0.137632249806025,-0.137632249806025
-0.0601974121511799,0.102475999806025,-0.102475999806025
-0.0957068299593991,0.0635419244635595,-0.0635419244635595
-0.120385768315563,0.0441712052854773,-0.0441712052854773
-0.118748353932002,0.0423839621347924,-0.0423839621347924
-0.106098525164879,0.0378676950115047,-0.0378676950115047
-0.0832068299593991,0.0344109313128746,-0.0344109313128746
-0.0694653916032347,0.030472575148491,-0.030472575148491
-0.0702573436580292,0.0262559655594499,-0.0262559655594499
-0.0763147066717278,0.0255496299430116,-0.0255496299430115
-0.0814623950278922,0.0297127292580801,-0.0297127292580801
-0.0844054600963854,0.0374717189841074,-0.0374717189841074
-0.0875411621511799,0.0470286539156143,-0.0470286539156143
-0.0926674463977552,0.0561361025457513,-0.0561361025457513
-0.100736795712824,0.0648903833676691,-0.0648903833676691
-0.10562763475392,0.078642523778628,-0.078642523778628
-0.104482514890906,0.0906395272032855,-0.0906395272032855
-0.0979328573566594,0.0902114450115047,-0.0902114450115047
-0.0857646210552895,0.0817247155594499,-0.0817247155594499
-0.0762183881785772,0.0730988593950664,-0.0730988593950663
-0.0750732683155635,0.0718253148745184,-0.0718253148745184
-0.0810450148909059,0.0752071641895869,-0.0752071641895869
-0.0922500662607689,0.0731416676142444,-0.0731416676142444
-0.0955141929730977,0.0719537395320527,-0.0719537395320526
-0.0929028916032347,0.0735162395320527,-0.0735162395320527
-0.0917256655758374,0.0748646984361622,-0.0748646984361622
-0.0892962991374813,0.0774224895320526,-0.0774224895320527
-0.0882796039320018,0.0805795956964362,-0.0805795956964362
-0.0872201005073443,0.0852349895320526,-0.0852349895320526
-0.091511624479947,0.0826771984361622,-0.0826771984361622
-0.104204261466248,0.0685504861073951,-0.0685504861073951
-0.11599792584981,0.0573561367923266,-0.0573561367923266
-0.127117360781317,0.0564250580252033,-0.0564250580252033
-0.13351718954844,0.0660997155594499,-0.0660997155594499
-0.129867788863509,0.0817568217238335,-0.0817568217238335
-0.11822395324707,0.0954340477512307,-0.0954340477512307
-0.105081829959399,0.103460588847121,-0.103460588847121
-0.0953322580415909,0.110834304600546,-0.110834304600546
-0.087337823110084,0.12402993816219,-0.12402993816219
-0.0763896210552895,0.142747831997806,-0.142747831997806
-0.0598763505073443,0.157484561449861,-0.157484561449861
-0.0429778059867963,0.159293208710135,-0.159293208710135
-0.0314302888635087,0.152047917614244,-0.152047917614244
-0.0260364532470703,0.15014295186082,-0.15014295186082
-0.0245595696854265,0.159881821723833,-0.159881821723833
-0.0222800320141936,0.168967866244381,-0.168967866244381
-0.023767617630632,0.171632677888217,-0.171632677888217
-0.0276524635210429,0.162867695011505,-0.162867695011505
-0.0289046039320018,0.171076171038902,-0.171076171038902
-0.0276310594114539,0.234443037477258,-0.234443037477258
-0.0181062306443306,0.343197318299176,-0.343197318299176
0.0146527590816968,0.434453739532053,-0.434453739532053
0.0646099508625187,0.480622403915614,-0.480622403915614
0.109344539903615,0.566859561449861,-0.566859561449861
0.116407896067998,0.56441949295671,-0.56441949295671
0.085318426889916,0.566827455285477,-0.566827455285477
0.0495200536022447,0.563884390216984,-0.563884390216984
0.0260290433282722,0.552871975833423,-0.552871975833423
0.0127049851090941,0.540853568299176,-0.540853568299176
0.0768531015474502,0.0362730888471211,-0.0362730888471211
0.0251514748351215,0.0623754004909568,-0.0623754004909568
-0.00706171009638538,0.0986981744635595,-0.0986981744635595
-0.00527446694570044,0.147724287477258,-0.147724287477258
-0.0279842272196731,0.157077883367669,-0.157077883367669
-0.0546216416032347,0.113723859395066,-0.113723859395066
-0.0592235251648785,0.0705945785731485,-0.0705945785731485
-0.0846087991374813,0.0337795100799979,-0.0337795100799979
-0.100180288863509,0.0179083628197239,-0.0179083628197239
-0.0900347409183032,0.025763671038902,-0.025763671038902
-0.0664260080415909,0.0335333628197239,-0.0335333628197239
-0.0549320011922758,0.0338544244635595,-0.0338544244635595
-0.0569760936580292,0.0297127292580801,-0.0297127292580801
-0.0654200148909059,0.0258064792580801,-0.0258064792580801
-0.072740220370358,0.0250573354224636,-0.0250573354224636
-0.0766892785895361,0.0284712909019157,-0.0284712909019157
-0.0789153059867963,0.0345928662443814,-0.0345928662443814
-0.0816443299593991,0.0431009998060253,-0.0431009998060253
-0.0853365388635087,0.0514593046005458,-0.0514593046005458
-0.0906554600963854,0.0593039107649294,-0.0593039107649294
-0.0948506655758374,0.0710119587101348,-0.0710119587101349
-0.0968626518772073,0.0812217189841074,-0.0812217189841074
-0.0937483539320018,0.0794986881621896,-0.0794986881621896
-0.0835171895484402,0.0714293388471211,-0.0714293388471212
-0.0735963847539196,0.0628783970662992,-0.0628783970662992
-0.0699897922881662,0.0618402977512307,-0.0618402977512307
-0.074837823110084,0.0636275409019157,-0.0636275409019157
-0.0832603402333717,0.0620115306279431,-0.0620115306279431
-0.0866742957128237,0.0603099039156143,-0.0603099039156143
-0.0845873950278922,0.0608985169293129,-0.0608985169293129
-0.0816978402333717,0.0620757429567102,-0.0620757429567102
-0.0788296895484402,0.0646870443265732,-0.0646870443265732
-0.0785728402333717,0.0680902977512307,-0.0680902977512307
-0.0817085422881662,0.0715684655594499,-0.0715684655594499
-0.0899384224251525,0.0707444073402718,-0.0707444073402718
-0.105445699822413,0.0630282258334225,-0.0630282258334225
-0.119775751192276,0.059357421038902,-0.059357421038902
-0.127984227219673,0.0651472326827376,-0.0651472326827376
-0.126122069685426,0.0782679518608198,-0.0782679518608198
-0.11455314845255,0.0943745443265732,-0.0943745443265732
-0.0948185594114539,0.107473859395066,-0.107473859395066
-0.0727830285895361,0.116773945011505,-0.116773945011505
-0.0572650491374813,0.125913499806025,-0.125913499806025
-0.0462098265347415,0.13842420186082,-0.13842420186082
-0.0352509224251525,0.151395092271779,-0.151395092271779
-0.0249448436580292,0.156928054600546,-0.156928054600546
-0.0201396210552895,0.151651941586847,-0.151651941586847
-0.0206747237950155,0.140564612819724,-0.140564612819724
-0.0262183881785772,0.131168208710135,-0.131168208710135
-0.0336028059867963,0.12324868816219,-0.12324868816219
-0.0374234395484402,0.108940040901916,-0.108940040901916
-0.0407838847539196,0.0927371299430116,-0.0927371299430116
-0.0436520354388511,0.0948775409019157,-0.0948775409019157
-0.0433737820141936,0.129102712134792,-0.129102712134792
-0.0372843128361114,0.19578721555945,-0.19578721555945
-0.0218412477676183,0.272938328573149,-0.272938328573149
-0.0031554600963854,0.351298773778628,-0.351298773778628
0.0264357214104639,0.402165640216984,-0.402165640216984
0.0747876049721078,0.40426324295671,-0.40426324295671
0.092371080999505,0.465810760079998,-0.465810760079998
0.0619772453830666,0.491452883367669,-0.491452883367669
0.0308877762049845,0.521664784052601,-0.521664784052601
0.0149845227803269,0.531403653915614,-0.531403653915614
0.0880474508625187,0.045562472408765,-0.045562472408765
0.0487173994926557,0.0623754004909568,-0.0623754004909568
0.0123732214104639,0.0826022840526006,-0.0826022840526006
-0.0212847409183032,0.112000828573149,-0.112000828573149
-0.0294183025621388,0.153910075148491,-0.153910075148491
-0.0385257511922758,0.146022660764929,-0.146022660764929
-0.0600796895484402,0.0869473182991759,-0.0869473182991759
-0.0671002374936457,0.0325166676142444,-0.0325166676142444
-0.0720231826991251,0.00899355117588828,-0.00899355117588826
-0.0676246381785772,0.00812668473753211,-0.0081266847375321
-0.0520317443429607,0.0194387566553403,-0.0194387566553403
